tau_E,I_baseline,I_HD,reversal_potential,A_fast,fc_stim_duration,stim_delay,g_T,V_half_T,k_T,tau_hT,E_Ca,g_h,V_half_h,tau_h_on,tau_h_off,g_a,A_sc,tau_sc_on,tau_sc_off,tau_sc_off2,w_sc,sc_delay,tau_scg
34.583404015075224,51.70872737968637,107.73411713296771,0.0,155.30212823955847,167.17747031485197,135.13863493213208,389.37625802526384,77.44846422482964,163.18777084955244,2.7655198179293348,25.521898337208324,2.6294148732649667,3.113545548306241,0.19782565593545876,0.08782052626741087,23.776414819800966,82.90335713209475,27.1606014332035,63.612944508398336,39.600745793899314,11.022169269033414,27.26634592027369,12.087036212794928
25.055463089401115,62.41935697162602,130.03667390367906,0.0,319.32877817549286,113.56560020376843,78.97734147412513,133.46759606516954,66.80644360709437,180.54749384941624,3.3576216397487877,17.80064562625185,5.481466095989286,9.773912705828593,3.309979849177646,0.1881856931377923,31.711501247830423,170.44428749202578,38.34462779077344,89.56300237371194,48.45735841252484,76.8250701598493,29.441653233658606,24.985979453446717
41.81486768643275,47.68772255782395,99.3505897379856,0.0,80.22666245720512,289.867046711607,67.31410737341045,56.572860749628155,92.43076788569249,317.1260156888844,39.34900569828799,18.090062140179782,1.4318278974202603,1.3220173498434447,0.16279563131751612,0.07103279779253326,21.67188726667042,132.5429918385927,9.952882432185469,63.19416224646852,0.0,44.153659191152514,18.229587152083575,11.912637187944012
49.361094225466694,69.25746410742516,144.2778624680755,0.0,168.40470056625904,267.1339925914558,162.7002088605053,44.312225548906945,61.07235690749888,209.45381776690343,1.7838270485635042,11.38501664816927,1.320386598336628,9.267334545540502,0.19957249680710215,0.14069521926273493,36.871955222600235,229.82859080173478,49.07015774883877,11.98037336155146,72.42632716657671,84.29811285357705,40.4950616596721,34.07619125729547
18.5591271370702,23.16814028574254,48.28367200352885,0.0,163.69348220003454,148.11298628090063,105.49581270226622,341.130859362625,80.6894737713685,152.70767032560843,5.720845985326366,30.97530208648908,3.009886460607413,10.620174970701648,0.9646561525781462,0.0259346763313877,20.747510237448093,127.31025472643698,17.34189087369864,20.42577853406414,5.172548876202435,13.908348118765678,23.43826365590433,10.568169048909144
27.909479631258375,20.011784206803508,41.69570695941214,0.0,97.88178368527355,163.490649108318,105.79441326388695,363.0265443326227,87.18210367036801,126.53818633346496,10.060448878803877,40.27281240537298,3.546945585539868,6.656280649106323,4.347794102227347,0.4443019114471022,17.96282402691423,52.72514559740926,3.680391087187872,10.10997590587787,3.248478575238341,2.0141635724459026,8.237720582658781,5.292111752476424
24.026093831705246,60.549441908098295,126.14355059770963,0.0,261.77786891865804,158.21807331022592,125.73627369569111,183.23281669526185,70.38761867914963,161.6779452864571,1.4537587781360735,25.825248633735654,1.870834401752901,4.297822664809975,0.35392491945220994,0.021820699972552354,27.839768018120356,147.4788053294176,27.787522906669626,74.7658686180897,28.93411552354745,7.612955728828161,28.615862800007307,21.942812272147734
39.33569668163551,51.82741938200252,107.9871945662336,0.0,375.68395350738234,156.4597417526481,76.96455609948806,244.5583858909403,75.88326066150887,192.42268603860586,1.1112710085915647,16.370744790164633,4.776605151030984,14.069174265465307,1.0465316796511996,0.35435889809563836,26.217272927735483,147.48625700787264,32.205240991651046,11.391211865878123,22.50988306453008,23.177583273872592,41.394609805345524,13.312414869987018
81.78349954528038,46.612433902279534,97.11143433638865,0.0,452.4105223661801,137.9384639765105,131.10413042911955,253.29378974706518,84.33024883414396,199.41656811043103,13.332279634402742,28.877984603223354,2.7453146093177816,3.6086451717356276,2.3325866988538655,0.37251209473263514,22.327126631114393,64.67539256401541,9.445084048162679,64.19706766979711,4.730072565066196,0.5474418290663761,13.292491803642916,5.700239966079727
14.380260668888086,50.27037605063207,104.73552916039435,0.0,228.48720206658408,91.16732738403824,80.86674498687731,254.03823301549076,75.18470418742405,168.53881398625037,2.879750074607549,29.506862400939216,6.31849809607946,14.996731591109134,0.49718000596688133,0.8475975386454242,24.16445844480517,60.49111294693156,12.740727468398875,118.02634348139006,3.3480441590286425,14.205557116410453,15.50043844796583,7.647138544493796
12.593482821863708,22.564569133158795,47.01142449910901,0.0,89.59613069671539,132.60858297445571,120.80778554504184,413.3676594154659,87.21368265341152,139.08325550406167,11.657152957979465,37.14687244992757,2.850057514458133,7.397180494395073,0.3541667418881879,0.11717153548771567,18.7661879213083,32.232171881206085,2.940531317117806,0.0,16.09428822890296,9.512331764306193,6.681599406392439,1.7479669358458287
23.896737847934418,57.74994580335225,120.32114617417865,0.0,243.27332053860195,149.6749317045451,144.95488451493685,214.53938028964063,61.56793747612109,147.1991694581431,2.0680061649130415,25.197720708965452,16.407329248301792,21.712482470997596,1.695617299155751,0.4865620911411855,32.253614629723174,191.4663120351542,30.658577722294464,35.99427330840013,19.625185460935075,37.388398558704296,32.27141084167533,16.891901050909723
53.555428080078244,33.61873773504898,70.05031232596883,0.0,351.128879177572,160.3384823700998,150.22213187786272,263.41835262045515,65.88632911594743,146.2906601288585,5.1172369068442425,32.67647598125415,8.267158775991305,25.782098775476396,2.2577089734661815,0.17149842790396164,26.64527577193214,148.53406375367717,37.05853319778919,8.243146873497826,23.46885240672411,35.79038706834048,37.820055143271965,20.674744778180457
34.65922758106593,54.02336082213624,112.56699192774258,0.0,291.6149517195665,128.3372253512107,108.30507743326972,212.69192822119635,70.30435820166781,215.06236092759104,5.66743262502146,10.895518157673461,4.864916119912294,13.6711849864325,1.7216729705666696,0.16915941569632642,30.020000422246653,129.5255015812443,21.364652224357478,19.221596764581086,68.49828536695125,80.80413366522589,34.26777297243742,18.153301239848872
29.065996414386515,49.89250233194133,103.95453701225264,0.0,258.48810982210273,119.5479250638695,115.6478583396393,219.52881728951797,79.02406500756499,188.5213343757705,1.6006759451629304,21.14928539508298,3.9003042520036417,9.516569546400792,0.8567625996891826,0.2759008126421631,23.159389825402293,77.40451156236725,13.272809263635516,4.587362833615727,38.999339301467515,32.847611663749746,19.953077634574946,4.1667399907955405
53.59972269670236,51.84019316824605,108.00266121084076,0.0,394.2188185432168,83.7785028755985,136.39993684210842,653.3771914668432,69.56770459863725,102.38836575928016,7.981596544776668,64.60358112907528,3.169010172012895,3.0826358680973898,0.97210681150228,0.08660586136711831,32.490804292694555,46.14753556337336,4.2985039570921835,4.456778460041442,11.28983799020123,9.864587238507216,0.778238471446693,1.3720269728809489
47.974155301747764,46.49361967514,96.85808913506762,0.0,788.3982719691697,179.45889204684377,155.97990830798932,69.76830534306836,96.11278673882892,284.82482983492054,6.67020196639851,34.3461696863134,3.33758486665049,4.193146505629454,0.5379477158800097,0.10589692263823651,18.768066614199597,89.58689395618397,0.7453435206608225,1.4323364946455022,0.0,0.764961206237953,1.8024938615985096,1.7645545821887079
