Animal_Id,Cell_Id,R_Squared,SC_pd,SC_anti,SC_anti_data,tau_E,I_baseline,I_HD,A_fast,fc_stim_duration,stim_delay,g_T,V_half_T,k_T,tau_hT,E_Ca,g_a,A_sc,tau_sc_on,tau_sc_off,sc_delay,tau_dend,mg_conc,HDpeakFRsmooth,HDpeakFR,HDInx,pValS,pValR,nSpk,HDFR,HDAngle,vm_deltaBIC,vm_deltaAIC,vm_deltaLL,vm_mu1_deg,vm_mu2_deg,vm_kappa,vm_kappa2,vm_pi,vm_mu_uni_deg,vm_kappa_uni
EB12,70.0,0.6241832541510891,58.23248295440081,0.0,0.0,42.37608718168473,0.0,17.79412560556036,248.22307947326786,10.789135898594209,5.693407210647458,8.689805703654535,-5.0,3.0,12.075622954953563,100.90832814579784,2.0,232.9058745892858,19.12566099351111,194.20817116284803,7.737951701369193,77.92103940243513,0.7728104405241323,103.5904255319171,176.19680851064206,0.8989170715099395,0.0,0.0,1032.0,15.362135551196998,287.32859865593474,20.086930713049924,34.904692551174435,20.452346275587217,287.95199459746334,308.3648662247186,10.045403093913672,2.8254442788529817,0.95,288.7491139041934,8.531091746317408
EB12,71.0,0.7327657455281855,103.19761949027357,0.0,0.0,42.37608718168473,0.0,16.640247011567546,162.42320593564875,10.789135898594209,5.693407210647458,16.845525463221033,-5.0,3.0,12.075622954953563,100.90832814579784,2.0,245.2216743692956,19.12566099351111,194.20817116284803,7.737951701369193,77.92103940243513,0.7728104405241323,79.67914438502844,94.25133689839772,0.9075005769886616,0.0010000000000000009,2.507854870306512e-265,850.0,10.707657764110047,223.4391802844066,5.780083189495713,20.015792237948858,13.007896118974429,235.6812144308262,200.39356686896585,10.270023228756935,33.2841380700556,0.853345375681907,230.5466958023223,7.664361720805402
EB12,72.0,0.5240536127953664,85.37047329032751,0.0,0.0,42.37608718168473,0.0,19.462932706935796,236.41121881222148,10.789135898594209,5.693407210647458,5.0,-1.0914578129920058,4.055630236698728,12.075622954953563,100.90832814579784,2.0,202.6624474308578,19.12566099351111,194.20817116284803,7.737951701369193,77.92103940243513,0.7728104405241323,130.67567567567843,143.38235294117953,0.9055717608963052,0.0010000000000000009,0.0,1531.0,19.577193988382067,5.906494640961655,104.96265136109741,120.96368054807044,63.48184027403522,15.456028298846931,23.762736851374527,5.67191729365512,0.20629545594390844,0.95,15.502636424755492,4.11438372264867
EB12,73.0,0.7209658757582407,124.33537180698757,0.0,0.0,42.37608718168473,0.0,20.464855534774948,309.2764145359027,10.789135898594209,5.693407210647458,5.0,-5.0,4.978635970501189,12.075622954953563,100.90832814579784,2.0,175.70736133546487,19.12566099351111,194.20817116284803,7.737951701369193,77.92103940243513,0.7728104405241323,106.36792452830416,126.76886792453101,0.87984107371489,0.0010000000000000009,0.0,1286.0,17.674973996072474,203.82099724631777,-5.797883071393244,9.679992642999423,7.8399963214997115,213.63194358822318,217.46412386639713,5.996904784776928,56.304235465369786,0.8753744583923319,214.14492925265412,6.6928510462309925
EB12,75.0,0.13122021058175515,52.25310770246253,0.0,0.0,42.37608718168473,0.0,1.3520771177256297,181.09086026176956,10.789135898594209,5.693407210647458,11.238221782332273,-5.0,3.0,12.075622954953563,100.90832814579784,2.0,300.0,19.12566099351111,194.20817116284803,7.737951701369193,77.92103940243513,0.7728104405241323,8.544303797468539,11.603375527426408,0.9024716153489161,0.0,7.956848395540979e-27,170.0,1.1172235653732199,49.045659955638655,99.55613902425533,108.96353433540611,57.481767167703055,54.40491963053035,292.76751465480004,26.01416154458278,2.0,0.9438703038473953,53.56378676416203,9.267191693003737
EB12,76.0,0.6295308449590427,26.4824751648683,0.0,0.0,42.37608718168473,0.0,0.4967218304985651,259.19881296946784,10.789135898594209,5.693407210647458,5.484491439336907,8.89525841666426,3.4129627518822425,12.075622954953563,100.90832814579784,1.4026954825745677,82.06472834259355,19.12566099351111,194.20817116284803,7.737951701369193,77.92103940243513,0.7728104405241323,27.38636363636422,50.00000000000106,0.9409719524269685,0.0,7.397989555961789e-100,273.0,1.4840460160811881,337.1221039996618,90.16098528833324,100.98940067388813,53.494700336944064,340.2616585912234,27.6258906841926,18.58290861273158,0.9520941597704895,0.95,340.97571616792334,9.769504750154821
EB12,77.0,0.7293925736386077,74.00778763807484,0.0,0.0,42.37608718168473,0.0,16.229486149005037,278.92759540052083,10.789135898594209,5.693407210647458,5.0,-3.047472134107089,3.0,12.075622954953563,100.90832814579784,2.0,255.68243966598445,19.12566099351111,194.20817116284803,7.737951701369193,77.92103940243513,0.7728104405241323,24.24568965517293,29.09482758620751,0.915557081257022,0.0,1.2455249039229502e-87,276.0,3.426524878060408,297.5068918766212,-7.847998040566608,3.013204556584867,4.5066022782924335,302.7771140114207,277.5224958462915,11.106512718324971,288.9114565545406,0.9222891073080867,300.78157808468706,10.366369638714183
EB12,78.0,0.6189572301193422,69.34000104732937,0.0,0.0,42.37608718168473,0.0,17.057131184494096,219.6231504707283,10.789135898594209,5.693407210647458,23.288132478859207,-5.0,3.0,12.075622954953563,100.90832814579784,2.0,248.37924419577797,19.12566099351111,194.20817116284803,7.737951701369193,77.92103940243513,0.7728104405241323,50.786163522013666,71.70050761421471,0.9372600657850496,0.0010000000000000009,2.386962505582152e-175,451.0,5.551261157911839,338.9711494929227,154.70300667482059,167.03740869332864,86.51870434666432,339.8962374838349,354.7720711060481,14.416305190607465,0.2594374113697015,0.95,339.99004199462325,7.044708252868205
EB12,79.0,0.5506204153520649,70.19950352442113,0.0,0.0,42.37608718168473,0.0,18.044852737498157,191.43061573775182,10.789135898594209,5.693407210647458,20.638936594458897,-5.0,3.0,12.075622954953563,100.90832814579784,2.0,214.4174215274092,19.12566099351111,194.20817116284803,7.737951701369193,77.92103940243513,0.7728104405241323,113.2812500000024,134.11458333333618,0.9148045922013573,0.0010000000000000009,0.0,1067.0,13.382780638289653,158.20145960039744,1.691675205331535,16.60949395923683,11.304746979618415,162.0815234071056,188.0476635216829,10.898000906247967,4.348463237626813,0.95,163.2283827333755,9.365561014640658
EB12,80.0,0.5220822943529821,60.32749372498975,0.0,0.0,42.37608718168473,0.0,18.288854432931767,189.88220741615498,10.789135898594209,5.693407210647458,12.90917906376628,-5.0,3.0,12.075622954953563,100.90832814579784,1.8371106564269184,213.4994603474467,19.12566099351111,194.20817116284803,7.737951701369193,77.92103940243513,0.7728104405241323,47.46666666666768,75.33333333333493,0.9319992655954201,0.0,1.6801104890345005e-166,761.0,7.996852539720503,47.978591591289046,-1.8902242646690581,12.013675808915991,9.006837904457996,50.45342657311575,67.75973426971001,25.838036658651294,10.79679699035658,0.95,51.2788161221688,22.021899353714154
EB12,81.0,-0.12312277769330837,39.314840319761814,0.0,0.0,42.37608718168473,0.0,0.0,217.50787460515497,10.789135898594209,5.693407210647458,5.0,-5.0,3.3796925601603194,12.075622954953563,100.90832814579784,0.9370629737945565,300.0,19.12566099351111,194.20817116284803,7.737951701369193,77.92103940243513,0.7728104405241323,13.120567375886804,21.551724137931494,0.9181688018902469,0.0,2.4230815272725364e-37,150.0,1.5120217827906115,57.94650601555525,100.35691723576231,109.38882311805108,57.69441155902554,61.437769779054605,43.67371142625647,39.437304652474985,2.0,0.95,61.00007197276846,14.156865812921394
EB12,82.0,0.3612965378280212,77.6302116002604,0.0,0.0,42.37608718168473,0.0,15.949584683791397,183.39374113384133,10.789135898594209,5.693407210647458,15.667302109544945,-5.0,3.0,12.075622954953563,100.90832814579784,2.0,268.7297634273891,19.12566099351111,194.20817116284803,7.737951701369193,77.92103940243513,0.7728104405241323,34.03508771929897,69.78798586572587,0.9089089514020686,0.0010000000000000009,1.5402841383195035e-123,447.0,4.298868907002483,205.70143606607888,67.60270860265453,79.91038438649525,42.955192193247626,209.32829655451667,213.29211356809543,53.40457916058205,5.658382631848392,0.5605249107223884,210.98448908097674,10.964783675188636
