Animal_Id,Cell_Id,ctl_peak,ctl_auc,ctl_thalf,peak_block100,auc_block100,peak_block75,auc_block75,peak_block50,auc_block50,peak_block25,auc_block25,apv_full_peak,apv_full_auc,mgfree_pd_peak,mgfree_anti_peak,ctl_anti_peak,ifen_peak,ifen_auc,ifen_thalf
EB12,60.0,68.21085504356918,27945.692736560806,,34.777719979117435,22279.728665516195,39.21311060325203,23369.286338772046,46.07407480729091,24675.814747512155,55.65762527710929,26178.69503289813,307.85831903501355,9777.887617102362,268.17425606187,199.6040544487045,0.0,65.78843394099214,25190.268042246284,
EB12,61.0,80.36862698406992,31195.569012171127,338.9999999999808,46.90458793671566,21422.66865073927,53.62173331037917,23075.368431608753,60.36985167371,25097.373872189077,67.14399972425325,27671.811364794332,638.5662815380028,22956.940088056603,308.3983351797226,278.89128939047333,0.0,76.91755302062401,25709.85973177387,177.19999999998993
EB12,62.0,145.0194876108412,50122.652978419836,192.7999999999891,153.97428495998173,39737.809887991956,131.32254899146685,40712.356760100054,124.98523933096627,42659.086479201665,129.5415878409069,45678.377144011465,394.3199708899632,27131.655396090013,438.9057915506353,398.4728670570885,0.0,120.51605439385573,40099.75653655596,59.99999999999659
EB12,63.0,130.7615950178215,44006.76995808689,273.3999999999845,105.79460950991536,29916.26341174138,111.53369390312267,32351.93643505543,117.4070591291356,35310.517061584585,123.77322214337484,39056.52483181154,540.4418283695838,31068.797694304,258.27751477633524,192.48067758575928,0.0,126.71907732176962,32678.04928288971,44.99999999999744
EB12,64.0,40.68255381341055,12610.381236525955,25.799999999998533,40.15212543364483,11893.79413085421,40.27095857366452,12070.782237950376,40.3975546918069,12249.170201563682,40.5365641879391,12429.085677824387,42.909896397619605,2008.2955468791624,41.94107471328206,0.0,0.0,40.10007767070012,11942.131558879693,23.19999999999868
EB12,65.0,22.97586674366059,14307.257380198354,,22.094996771100384,13757.25149878642,22.089535361665448,13889.047899298559,22.08414825962927,14024.452332329849,22.078814770875816,14163.748916057124,179.9847823087131,6471.812654099656,29.169877957552472,0.0,0.0,23.73575553631586,14438.73608577719,
EB12,66.0,70.57006153182206,28092.404390242413,298.99999999998306,31.372844218956523,20285.510828808277,37.94165272374045,21766.99971683846,46.21859756586669,23502.24242547014,56.65701878435475,25555.188773226015,46.463753733796906,2400.2607402055028,277.3764311998091,216.6845575048411,0.0,57.02891850070297,24264.784257695723,
EB12,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.22826166774274,0.0,0.0,0.0,0.0,0.0
EB12,68.0,148.79883392361222,64022.7174066539,,118.6927175638253,51303.124574140114,125.95198815024932,53309.7110342408,133.31375699838438,55800.857466585585,140.76819296808253,59121.48873711973,894.7067142328549,56104.79258373622,368.5554090033764,329.31456952465726,0.0,145.55230054495948,56008.50750202142,
EB12,69.0,116.13984632803468,43580.22868956669,323.59999999998166,107.40930584708103,35061.20827462364,109.04175324819454,36484.504090556555,110.67429629441051,38216.46550649091,112.71961763557644,40458.04512478206,993.1285092428566,48419.4356118774,263.5053569385911,192.54251034945582,0.0,115.9021721721386,41041.248443676566,242.5999999999862
EB12,70.0,74.85466179643254,22733.348467473916,125.39999999999287,31.068811284226694,18211.076644047418,36.24127358222853,18977.41171621542,44.700427727715144,19925.97062806062,57.50489275909719,21127.97108513073,149.44286961063574,7079.732200438966,286.2171377031819,243.82160462750196,0.0,70.17364727156489,21602.711146953116,119.5999999999932
EB12,71.0,89.15697422580361,28427.970609042466,154.7999999999912,29.464331807978873,16721.48383198728,34.98367953230908,18347.319397664425,51.650008398055434,20509.971652559983,69.72872940196397,23620.67796674196,335.7500818223277,16691.418052727615,351.87254800483515,338.67371736312,24.711284423397828,73.86297745177885,18642.279002077543,45.39999999999742
EB12,72.0,93.97850153208961,39515.0281721062,,73.11740377990975,32058.742618159464,76.70715553094286,33338.61229734642,80.9779408701678,34877.862746233106,86.49112222470626,36832.66929361331,100.30738111918838,4996.586008275044,268.3944943332735,206.52726240408919,0.0,74.1751272391968,32195.449069420145,
EB12,73.0,130.1259464235868,43415.582421211104,165.99999999999056,44.818072781073184,27793.91003778811,53.40201644434408,29626.751909827646,76.6835841622644,32279.975423605774,101.03558795976488,36610.28492675774,567.5226070123916,39166.11282922424,414.36361581144445,357.2071551197246,13.430394924800462,123.45231613748103,36917.77794528789,124.39999999999293
EB12,75.0,37.19513597062204,10243.146203537879,142.19999999999197,17.774824726639245,3990.454889136121,18.53667520508033,5069.3630943409835,22.19431438078175,6504.530188157212,27.97921294985384,8192.221369034212,224.98367689274403,8994.884643266421,170.49867828410257,158.19934038309702,0.0,31.973198779398743,6588.824704118268,114.99999999999346
